Restaurant_ID,Restaurant_Name,Restaurant_Number,Restaurant_Address,City,State,ZipCode
38,That Pizza Place,(310) 475-3888,11907 W Olympic Blvd,Los Angeles,CA,90064
39,Fundamental La,(310) 444-7581,1303 Westwood Blvd,Los Angeles,CA,90024
40,La Morenita Restaurant,(323) 221-1687,2620 N Broadway,Los Angeles,CA,90031
41,Desert Rose,(323) 666-1166,1700 Hillhurst Ave,Los Angeles,CA,90027
42,Corner Place Restaurant,(213) 487-0968,2819 James M Wood Blvd,Los Angeles,CA,90006
43,Louise's Trattoria,(323) 962-9510,232 N Larchmont Blvd,Los Angeles,CA,90004
44,Carolina's Restaurant,(323) 257-1437,6011 N Figueroa St,Los Angeles,CA,90042
45,El Pescador Restaurant,(323) 223-8866,2910 Division St,Los Angeles,CA,90065
46,The Tower Bar,(323) 848-6677,8358 W Sunset Blvd,Los Angeles,CA,90069
47,Nirvana Restaurant,(213) 625-0066,314 E 1st St,Los Angeles,CA,90012
48,H K Barbeque,(213) 680-1826,323 E 1st St,Los Angeles,CA,90012
49,Brite Spot,(213) 484-9800,1918 W Sunset Blvd,Los Angeles,CA,90026
50,Sa Rit Gol Restaurant,(323) 732-8000,1144 S Western Ave,Los Angeles,CA,90006
51,Sushi Ajito,(323) 466-2460,1302 N Highland Ave,Los Angeles,CA,90028
52,Sizzler,(323) 467-2353,1323 N Highland Ave,Los Angeles,CA,90028
53,Fiddler's Bistro,(323) 931-8167,6009 W 3rd St,Los Angeles,CA,90036
54,Marathon Restaurant,(323) 938-4243,1043 S Fairfax Ave,Los Angeles,CA,90019
55,Mary & Robb's Restaurant,(310) 478-3822,1453 Westwood Blvd,Los Angeles,CA,90024
56,Roscoe's House of Chicken and Waffles,(323) 466-7453,1514 N Gower St,Los Angeles,CA,90028
57,El Rinconcito Del Mar,(323) 269-8723,2908 E 1st St,Los Angeles,CA,90033
58,All'Angolo,(213) 368-7888,4050 W 3rd St,Los Angeles,CA,90020
59,Chin Chin,(310) 826-2525,11740 San Vicente Blvd Ste 201,Los Angeles,CA,90049
60,Momo Korean Bar-B-Q,(323) 268-5225,1720 S Soto St,Los Angeles,CA,90023
61,El Borrego De Oro,(323) 780-1132,2808 E Washington Blvd,Los Angeles,CA,90023
62,King Taco,(323) 264-4067,4504 E 3rd St,Los Angeles,CA,90022
63,El Gavilan Restaurant,(323) 752-4792,110 E 62nd St,Los Angeles,CA,90003
64,El Floridita,(323) 871-8612,1253 Vine St,Los Angeles,CA,90038
65,800 Degrees Neapolitan Pizzeria,(310) 443-1911,10889 Lindbrook Dr,Los Angeles,CA,90024
66,Honey Bee's House of Breakfast,(323) 731-7203,4715 W Adams Blvd,Los Angeles,CA,90016
67,Golden Bird,(323) 732-1228,2847 Crenshaw Blvd,Los Angeles,CA,90016
68,Mel's Drive In,(323) 465-2111,1650 N Highland Ave,Los Angeles,CA,90028
69,The Park's Finest,(213) 481-2800,1267 W Temple St,Los Angeles,CA,90026
70,The Slice,(310) 437-7499,13151 Fountain Park Dr Ste B,Los Angeles,CA,90094
71,Lanaranja,(323) 221-5923,2333 Daly St,Los Angeles,CA,90031
72,El Atacor Restaurant,(323) 441-8477,2622 N Figueroa St,Los Angeles,CA,90065
73,Kailey's Restaurant,(323) 343-9320,3600 N Broadway,Los Angeles,CA,90031
74,Los Feliz Cafe,(323) 661-2355,3207 Los Feliz Blvd,Los Angeles,CA,90039
75,Malibu Fish Grill,(323) 692-0000,6803 Melrose Ave,Los Angeles,CA,90038
76,Le Oriental Bistro,(323) 462-3388,1710 N Highland Ave,Los Angeles,CA,90028
77,Mr Fish & Mex Grill,(323) 290-0801,4949 W Slauson Ave,Los Angeles,CA,90056
78,Wacky Wok,(310) 670-0071,8919 S Sepulveda Blvd,Los Angeles,CA,90045
79,The Morrison,(323) 667-1839,3179 Los Feliz Blvd,Los Angeles,CA,90039
80,Fred 62,(323) 667-0062,1850 N Vermont Ave,Los Angeles,CA,90027
81,Food,(310) 441-7770,10571 W Pico Blvd,Los Angeles,CA,90064
82,Las Galas,(213) 687-4811,103 Japanese Village Plaza Mall,Los Angeles,CA,90012
83,Genghis Cohen,(323) 653-0640,740 N Fairfax Ave,Los Angeles,CA,90046
84,Garden Cafe,(323) 951-1234,6420 Wilshire Blvd,Los Angeles,CA,90048
85,India's Oven,(310) 207-5522,11645 Wilshire Blvd Ste 200,Los Angeles,CA,90025
86,Tila's Kitchen,(323) 264-5513,3909 Whittier Blvd,Los Angeles,CA,90023
87,Twin Dragon,(310) 657-7355,8597 W Pico Blvd,Los Angeles,CA,90035
88,Coco Ichibanya,(310) 479-1333,12007 Wilshire Blvd,Los Angeles,CA,90025
89,Rio Restaurant,(323) 223-5693,2207 N San Fernando Rd,Los Angeles,CA,90065
90,Toad Restaurant,(323) 460-7037,4503 Beverly Blvd,Los Angeles,CA,90004
91,Cindy's Restaurant,(323) 257-7375,1500 Colorado Blvd,Los Angeles,CA,90041
92,Osteria Mamma,(323) 284-7060,5732 Melrose Ave,Los Angeles,CA,90038
93,The Original Pancake House,(310) 645-0456,6521 S Sepulveda Blvd,Los Angeles,CA,90045
94,Restaurant Bahia Ensenada,(323) 261-9569,2605 E Cesar E Chavez Ave,Los Angeles,CA,90033
95,59th & Lex Cafe,(310) 772-7178,10250 Santa Monica Blvd  Inside Bloomingdale's,Los Angeles,CA,90067
96,Loteria Grill,(323) 465-2500,6627 Hollywood Blvd,Los Angeles,CA,90028
97,La Estrella Restaurant,(323) 266-4349,940 S Lorena St,Los Angeles,CA,90023
98,Palomino Euro-Bistro,(310) 208-1960,10877 Wilshire Blvd,Los Angeles,CA,90024
99,Maria's Italian Kitchen,(310) 476-6112,11723 Barrington Ct,Los Angeles,CA,90049
100,Guadalajara Carnitas,(323) 266-5648,2735 E Cesar E Chavez Ave,Los Angeles,CA,90033
101,Gus Jr,(323) 235-3713,4001 S San Pedro St,Los Angeles,CA,90011
102,Delancey,(323) 469-2100,5936 W Sunset Blvd,Los Angeles,CA,90028
103,Yekta Restaurant,(310) 444-9422,11925 Santa Monica Blvd,Los Angeles,CA,90025
104,Toscana,(310) 820-2448,11633 San Vicente Blvd,Los Angeles,CA,90049
105,Il Moro,(310) 575-3530,11400 W Olympic Blvd Ste 160,Los Angeles,CA,90064
106,Madeo Restaurant,(310) 859-4903,8897 Beverly Blvd,Los Angeles,CA,90048
107,Casa Sanchez,(310) 397-9999,4500 S Centinela Ave,Los Angeles,CA,90066
108,Shabu Shabu House Restaurant,(213) 680-3890,127 Japanese Village Plaza Mall,Los Angeles,CA,90012
109,Louigi's Italian Kitchen,(310) 477-4500,1644 Sawtelle Blvd,Los Angeles,CA,90025
110,A.O.C.,(310) 859-9859,8700 W 3rd St,Los Angeles,CA,90048
111,Juquila Restaurant,(310) 312-1079,11619 Santa Monica Blvd,Los Angeles,CA,90025
112,D'Amore's Pizza,(323) 951-0070,8369 W 3rd St,Los Angeles,CA,90048
113,Son of a Gun,(323) 782-9033,8370 W 3rd St,Los Angeles,CA,90048
114,Islands,(310) 474-1144,10948 W Pico Blvd,Los Angeles,CA,90064
115,Chicharroland Restaurant,(323) 232-8850,4714 S Main St,Los Angeles,CA,90037
116,Acajutla Restaurant,(323) 232-5410,608 E 59th St,Los Angeles,CA,90001
117,El Quezalteco Restaurant,(323) 766-8700,3304 W Jefferson Blvd,Los Angeles,CA,90018
118,Sultani Restaurant,(323) 876-3389,1535 N La Brea Ave,Los Angeles,CA,90028
119,Versailles Cuban Food,(310) 558-3168,10319 Venice Blvd,Los Angeles,CA,90034
120,Enzo's Pizzeria,(310) 208-3696,10940 Weyburn Ave,Los Angeles,CA,90024
121,Prado Restaurant,(323) 467-3871,244 N Larchmont Blvd,Los Angeles,CA,90004
122,Saddle Ranch Chop House,(323) 656-2007,8371 W Sunset Blvd,Los Angeles,CA,90069
123,Rock Sugar Pan Asian Kitchen,(310) 552-9988,10250 Santa Monica Blvd,Los Angeles,CA,90067
124,Terroni,(323) 954-0300,7605 Beverly Blvd,Los Angeles,CA,90036
125,Saffron Downtown Los Angeles,(213) 488-9754,505 S Flower St,Los Angeles,CA,90071
126,Della Terra,(323) 933-7675,7675 Beverly Blvd,Los Angeles,CA,90036
127,Boda Restaurant,(323) 227-8573,2310 Pasadena Ave,Los Angeles,CA,90031
128,King Taco,(323) 264-9051,4300 E Olympic Blvd,Los Angeles,CA,90023
129,Philly West Bar & Grill,(310) 474-9787,1870 Westwood Blvd,Los Angeles,CA,90025
130,Seoul House of Tofu,(310) 444-9988,2101 Sawtelle Blvd,Los Angeles,CA,90025
131,Home Restaurant,(323) 665-0211,2500 Riverside Dr,Los Angeles,CA,90039
132,Jitalda Rest,(323) 667-9809,5233 1/2 W Sunset Blvd,Los Angeles,CA,90027
133,Marino,(323) 466-8812,6001 Melrose Ave,Los Angeles,CA,90038
134,Pizzicotto,(310) 442-7188,11758 San Vicente Blvd,Los Angeles,CA,90049
135,Jeff's Gourmet Kosher Sausage Factory,(310) 858-8590,8930 W Pico Blvd,Los Angeles,CA,90035
136,Billingsley's Restaurant,(310) 477-1426,11326 W Pico Blvd,Los Angeles,CA,90064
137,Best Fish Taco In Ensenada,(323) 466-5552,1650 Hillhurst Ave,Los Angeles,CA,90027
138,Park's BBQ,(213) 380-1717,955 S Vermont Ave,Los Angeles,CA,90006
139,Craft,(310) 279-4180,10100 Constellation Blvd,Los Angeles,CA,90067
140,Restaurant Komasa,(213) 680-1792,351 E 2nd St,Los Angeles,CA,90012
141,Pan American Restaurant,(213) 386-2083,2601 W Temple St,Los Angeles,CA,90026
142,Red O,(323) 655-5009,8155 Melrose Ave,Los Angeles,CA,90046
143,Foo-Chow Restaurant,(213) 485-1294,949 N Hill St,Los Angeles,CA,90012
144,Choeng Wun Restaurant,(323) 465-7590,944 N Western Ave,Los Angeles,CA,90029
145,Natalie Peruvian Seafood Restaurant,(323) 463-8340,5759 Hollywood Blvd,Los Angeles,CA,90028
146,Rosalind's Ethiopian Restaurant,(323) 936-2486,1044 S Fairfax Ave,Los Angeles,CA,90019
147,Malibu Fish Grill,(323) 650-7700,8000 W Sunset Blvd,Los Angeles,CA,90046
148,La Bruschetta Ristorante,(310) 477-1052,1621 Westwood Blvd,Los Angeles,CA,90024
149,Cheng Du Restaurant,(310) 477-4917,11538 W Pico Blvd,Los Angeles,CA,90064
150,Farfalla Trattoria Inc,(323) 661-7365,1978 Hillhurst Ave,Los Angeles,CA,90027
151,Wood & Vine,(323) 334-3360,6280 Hollywood Blvd,Los Angeles,CA,90028
152,Shakey's Pizza Parlor,(323) 663-2145,5170 W Sunset Blvd,Los Angeles,CA,90027
153,Magnolia Hollywood,(323) 467-0660,6266 W Sunset Blvd,Los Angeles,CA,90028
154,Tanino Restaurant,(310) 208-0444,1043 Westwood Blvd,Los Angeles,CA,90024
155,Truxton's American Bistro,(310) 417-8789,8611 Truxton Ave,Los Angeles,CA,90045
156,Buffalo Wild Wings,(323) 466-1721,7060 Hollywood Blvd,Los Angeles,CA,90028
157,El Compadre Restaurant,(323) 751-7148,233 E Florence Ave,Los Angeles,CA,90003
158,Nanban-Kan Restaurant,(310) 478-1591,11330 Santa Monica Blvd,Los Angeles,CA,90025
159,Paraiso Restaurant,(213) 625-7845,115 W 3rd St,Los Angeles,CA,90013
160,La Victoria Restaurant,(213) 748-2682,3311 S Main St,Los Angeles,CA,90007
161,Eva's Lechon & Deli,(213) 383-3179,4252 W 3rd St,Los Angeles,CA,90020
162,L&L Hawaiian Barbecue,(323) 259-8888,4430 York Blvd,Los Angeles,CA,90041
163,Kim's Restaurant,(323) 294-6677,3860 Crenshaw Blvd,Los Angeles,CA,90008
164,All American Sausage Co,(323) 933-9600,189 The Grove Dr,Los Angeles,CA,90036
165,Hop Woo,(310) 575-3668,11110 W Olympic Blvd,Los Angeles,CA,90064
166,On The Border Mexican Grill & Cantina,(310) 665-9445,400 World Way,Los Angeles,CA,90045
167,Little Dom's,(323) 661-0055,2128 Hillhurst Ave,Los Angeles,CA,90027
168,Full House Seafood Restaurant,(213) 617-8382,963 N Hill St,Los Angeles,CA,90012
169,Bandera,(310) 477-3524,11700 Wilshire Blvd,Los Angeles,CA,90025
170,The Cheesecake Factory,(323) 634-0511,189 The Grove Dr,Los Angeles,CA,90036
171,Musso & Frank Grill,(323) 467-7788,6667 Hollywood Blvd,Los Angeles,CA,90028
172,L & E Oyster Bar,(323) 660-2255,1637 Silver Lake Blvd,Los Angeles,CA,90026
173,Callender's Grill,(323) 937-7952,5773 Wilshire Blvd,Los Angeles,CA,90036
174,Woody's BBQ,(323) 758-8303,1958 W Florence Ave,Los Angeles,CA,90047
175,El Tapatio Restaurant,(323) 266-2931,2049 E Cesar E Chavez Ave,Los Angeles,CA,90033
176,Greenwich Village Pizza,(213) 973-4371,512 E Washington Blvd,Los Angeles,CA,90015
177,Carney's Restaurant,(323) 654-8300,8351 W Sunset Blvd,Los Angeles,CA,90069
178,Trimana,(310) 445-4044,11755 Wilshire Blvd Ste 30,Los Angeles,CA,90025
179,House of Pies,(323) 666-9961,1869 N Vermont Ave,Los Angeles,CA,90027
180,Papa Cristo's Taverna,(323) 737-2970,2771 W Pico Blvd,Los Angeles,CA,90006
181,Daikokuya,(213) 626-1680,327 E 1st St,Los Angeles,CA,90012
182,Bestia,(213) 514-5724,2121 E 7th Pl,Los Angeles,CA,90021
183,Silver Lake Ramen,(323) 660-8100,2927 W Sunset Blvd,Los Angeles,CA,90026
184,Mandarin Kitchen,(310) 441-9651,1822 Westwood Blvd,Los Angeles,CA,90025
185,Perch,(213) 802-1770,448 S Hill St,Los Angeles,CA,90013
186,Hakata Ramen Shin-Sen-Gumi,(213) 687-7108,132 S Central Ave,Los Angeles,CA,90012
187,Allacqua,(323) 663-3280,3280 Glendale Blvd,Los Angeles,CA,90039
188,Donut Friend,(213) 995-6191,5107 York Blvd,Los Angeles,CA,90042
189,Four Cafe,(323) 550-1988,2122 Colorado Blvd,Los Angeles,CA,90041
190,India's Restaurant,(323) 912-9230,4366 Fountain Ave,Los Angeles,CA,90029
191,Blu Jam Cafe,(323) 951-9191,7371 Melrose Ave,Los Angeles,CA,90046
192,Mariscos El Jato,(323) 264-6590,2936 E 4th St,Los Angeles,CA,90033
193,Mohawk Bend,(213) 483-2337,2141 W Sunset Blvd,Los Angeles,CA,90026
194,Katsuya Hollywood,(323) 871-8777,6300 Hollywood Blvd,Los Angeles,CA,90028
195,It's Thai Hometaurant,(213) 484-9383,1311 Glendale Blvd,Los Angeles,CA,90026
196,Good Girl Dinette,(323) 257-8980,110 N Avenue 56,Los Angeles,CA,90042
197,Hurry Curry of Tokyo,(310) 473-1640,2131 Sawtelle Blvd,Los Angeles,CA,90025
198,Baco Mercat,(213) 687-7000,408 S Main St,Los Angeles,CA,90013
199,Manna Korean BBQ,(213) 617-0306,333 S Alameda St,Los Angeles,CA,90013
200,Pho Café,(323) 378-5770,2841 W Sunset Blvd,Los Angeles,CA,90026
201,Ham Ji Park,(213) 365-8773,3407 W 6th St,Los Angeles,CA,90020
202,Beverly Chicken,(323) 660-8200,3909 Beverly Blvd,Los Angeles,CA,90004
203,Manuel’s El Tepeyac Cafe,(323) 268-1960,812 N Evergreen Ave,Los Angeles,CA,90033
204,Gingergrass,(323) 644-1600,2396 Glendale Blvd,Los Angeles,CA,90039
205,Yamashiro,(323) 337-9400,1999 N Sycamore Ave,Los Angeles,CA,90068
206,Men Oh Tokushima Ramen,(213) 687-8485,456 E 2nd St,Los Angeles,CA,90012
207,Button Mash,(213) 250-9903,1391 W Sunset Blvd,Los Angeles,CA,90026
208,Community,(323) 913-0478,2044 Hillhurst Ave,Los Angeles,CA,90027
209,Sanamluang Cafe,(323) 660-8006,5176 Hollywood Blvd,Los Angeles,CA,90027
210,Max City BBQ,(323) 254-4227,4729 Eagle Rock Blvd,Los Angeles,CA,90041
211,Pann's Restaurant,(310) 670-1441,6710 La Tijera Blvd,Los Angeles,CA,90045
212,T.G. Express,(213) 483-8033,1906 W 3rd St,Los Angeles,CA,90057
213,The Griffin,(323) 644-0444,3000 Los Feliz Blvd,Los Angeles,CA,90039
214,Young-King Chinese Restaurant,(213) 487-6154,3100 W Olympic Blvd,Los Angeles,CA,90006
215,Big Mama's & Papa's Pizzeria,(323) 644-0003,814 N Vermont Ave,Los Angeles,CA,90029
216,Han Bat Shul Lung Tang,(213) 388-9499,4163 W 5th St,Los Angeles,CA,90020
217,Kettle Glazed Doughnuts,(323) 462-2344,6211 Franklin Ave,Los Angeles,CA,90028
218,Bao Dim Sum House,(323) 655-6556,8256 Beverly Blvd,Los Angeles,CA,90048
219,Hae Jang Chon Korean BBQ Restaurant,(213) 389-8777,3821 W 6th St,Los Angeles,CA,90020
220,Hyperion Public,(323) 761-6440,2538 Hyperion Ave,Los Angeles,CA,90027
221,Sugarfish,(310) 820-4477,11640 San Vicente Blvd,Los Angeles,CA,90049
222,Pizza Next Door,(213) 622-6595,806 W 8th St,Los Angeles,CA,90017
223,Figaro Bistrot,(323) 662-1587,1802 N Vermont Ave,Los Angeles,CA,90027
224,Pink Pepper,(323) 461-2462,1638 N La Brea Ave,Los Angeles,CA,90028
225,Westside Tavern,(310) 470-1539,10850 W Pico Blvd,Los Angeles,CA,90064
226,Curry House,(213) 620-0855,123 Astronaut E S Onizuka St,Los Angeles,CA,90012
227,Otium,(213) 935-8500,222 S Hope St,Los Angeles,CA,90012
228,Little Beast Restaurant,(323) 341-5899,1496 Colorado Blvd,Los Angeles,CA,90041
229,Fresh In The Box,(310) 301-9100,13354 W Washington Blvd,Los Angeles,CA,90066
230,Harold and Belle's,(323) 735-9023,2920 W Jefferson Blvd,Los Angeles,CA,90018
231,Gobi Mongolian Barbeque,(213) 989-0711,2827 W Sunset Blvd,Los Angeles,CA,90026
232,Pine & Crane,(323) 668-1128,1521 Griffith Park Blvd,Los Angeles,CA,90026
233,BCD Tofu House,(213) 380-3807,869 S Western Ave,Los Angeles,CA,90005
234,Mud Hen Tavern,(323) 203-0500,742 N Highland Ave,Los Angeles,CA,90038
235,Volcano Wok,(323) 468-9196,7040 W Sunset Blvd,Los Angeles,CA,90028
236,Meals By Genet,(323) 938-9304,1053 S Fairfax Ave,Los Angeles,CA,90019
237,Cabo Cantina,(323) 822-7820,8301 W Sunset Blvd,Los Angeles,CA,90069
238,Sushi Sasabune,(310) 478-3596,11917 Wilshire Blvd,Los Angeles,CA,90025
239,Leela Thai Restaurant,(323) 660-6100,1737 Silver Lake Blvd,Los Angeles,CA,90026
240,My Taco,(323) 256-2698,6300 York Blvd,Los Angeles,CA,90042
241,Messob Ethiopian Restaurant,(323) 938-8827,1041 S Fairfax Ave,Los Angeles,CA,90019
242,Chego!,(323) 380-8680,727 N Broadway Ste 117,Los Angeles,CA,90012
243,Bon Vivant Market & Cafe,(323) 284-8013,3155 Glendale Blvd,Los Angeles,CA,90039
244,Sakura Japanese Restaurant & Sushi Bar,(310) 822-7790,4545 S Centinela Ave,Los Angeles,CA,90066
245,Plum Tree Inn,(213) 613-1819,913 N Broadway,Los Angeles,CA,90012
246,The Original Pantry Cafe,(213) 972-9279,877 S Figueroa St,Los Angeles,CA,90017
247,Yard House,(213) 745-9273,800 W Olympic Blvd,Los Angeles,CA,90015
248,Won Kok Restaurant,(213) 613-0700,210 Alpine St,Los Angeles,CA,90012
249,Hard Times Pizza,(213) 413-1900,1311 Glendale Blvd,Los Angeles,CA,90026
250,Wako Donkasu,(213) 381-9256,3377 Wilshire Blvd,Los Angeles,CA,90010
251,Pollo A La Brasa,(213) 387-1531,764 S Western Ave,Los Angeles,CA,90005
252,Ye Rustic Inn,(323) 662-5757,1831 Hillhurst Ave,Los Angeles,CA,90027
253,Osteria La Buca,(323) 462-1900,5210 Melrose Ave,Los Angeles,CA,90038
254,Gaby's Mediterranean,(310) 559-1808,10445 Venice Blvd,Los Angeles,CA,90034
255,San Antonio Winery,(323) 223-1401,737 Lamar Street,Los Angeles,CA,90031
256,Caffe Latte,(323) 936-5213,6254 Wilshire Blvd,Los Angeles,CA,90048
257,Pho 87 Restaurant,(323) 227-0758,1019 N Broadway,Los Angeles,CA,90012
258,Thai Original BBQ & Restaurant,(213) 383-8571,4055 W 3rd St,Los Angeles,CA,90020
259,Chateau Lemongrass,(323) 258-8050,1952 Colorado Blvd,Los Angeles,CA,90041
260,Tofu Ya,(310) 473-2627,2021 Sawtelle Blvd,Los Angeles,CA,90025
261,Mendocino Farms,(213) 627-3262,444 S Flower St,Los Angeles,CA,90071
262,Sushi Go 55,(213) 687-0777,333 S Alameda St Ste 317,Los Angeles,CA,90013
263,The Factory Kitchen,(213) 996-6000,1300 Factory Pl Ste 101,Los Angeles,CA,90013
264,Smashburger,(213) 631-3355,1011 S Figueroa St,Los Angeles,CA,90015
265,Gwang Yang BBQ,(213) 385-5600,3435 Wilshire Blvd,Los Angeles,CA,90010
266,Hollywood Burger,(323) 378-5668,6250 Hollywood Blvd Ste 100,Los Angeles,CA,90028
267,Nobu Los Angeles,(310) 657-5711,903 N La Cienega Blvd,Los Angeles,CA,90069
268,Barton G. The Restaurant Los Angeles,(310) 388-1888,861 N La Cienega Blvd,Los Angeles,CA,90069
269,Burrata House,(844) 287-7282,3272 Motor Ave,Los Angeles,CA,90034
270,Native Foods,(310) 209-1055,1114 Gayley Ave.,Los Angeles,CA,90024
271,Marugame Monzo,(213) 346-9762,329 E 1st St,Los Angeles,CA,90012
272,Chinchikurin,(213) 626-0480,350 E 1st St,Los Angeles,CA,90012
273,Ocean Seafood Restaurant,(213) 687-3088,750 N Hill St,Los Angeles,CA,90012
274,Nick's Cafe,(323) 222-1450,1300 N Spring St,Los Angeles,CA,90012
275,King Taco,(213) 747-3176,1951 S San Pedro St,Los Angeles,CA,90011
276,Eighth Street Soondae,(213) 487-0038,2703 W 8th St,Los Angeles,CA,90005
277,Soy Japanese Grill & Roll,(213) 746-8831,2813 S Figueroa St,Los Angeles,CA,90007
278,Quarters Korean BBQ,(213) 365-8111,3465 W 6th St  Calle 130,Los Angeles,CA,90020
279,Blossom,(323) 953-8345,4019 W Sunset Blvd,Los Angeles,CA,90029
280,Cha Cha Chili,(850) 598-9090,4625 Valley Blvd,Los Angeles,CA,90032
281,Yu Chun Chic Naeng Myun,(213) 382-3815,3185 W Olympic Blvd,Los Angeles,CA,90006
282,Modern Eats,(323) 665-1008,2590 Glendale Blvd,Los Angeles,CA,90039
283,Square One Silverlake,(213) 220-0938,2630 Hyperion Ave Ste 101,Los Angeles,CA,90027
284,Yuca's On Hollywood,(323) 661-0523,4666 Hollywood Blvd,Los Angeles,CA,90027
285,La Pergoletta,(323) 664-8259,1802 Hillhurst Ave,Los Angeles,CA,90027
286,Coral Reef Chinese Restaurant,(323) 660-3260,3200 Glendale Blvd,Los Angeles,CA,90039
287,Genwa Korean BBQ,(323) 549-0760,5115 Wilshire Blvd,Los Angeles,CA,90036
288,Chinese Deli,(310) 815-8681,5808 Obama Blvd,Los Angeles,CA,90016
289,Feast From the East,(310) 475-0400,1949 Westwood Blvd,Los Angeles,CA,90025
290,Flame Persian Cuisine,(310) 470-3399,1442 Westwood Blvd,Los Angeles,CA,90024
291,Del Rey Kitchen,(310) 822-7788,12740 Culver Blvd,Los Angeles,CA,90066
292,Emporium Thai,(310) 478-2838,1275 Westwood Blvd,Los Angeles,CA,90024
293,Hide Sushi Japanese,(310) 477-7242,2040 Sawtelle Blvd,Los Angeles,CA,90025
294,Bollywood Bites,(310) 824-1046,1051 Gayley Ave,Los Angeles,CA,90024
295,House of Thai Taste,(310) 915-0123,12824 Venice Blvd,Los Angeles,CA,90066
296,Ayara Thai Cuisine,(310) 410-8848,6245 W 87th St,Los Angeles,CA,90045
297,Crown of India,(323) 465-3321,6755 Santa Monica Blvd,Los Angeles,CA,90038
298,The Fix Burger,(323) 661-8494,2520 Hyperion Ave,Los Angeles,CA,90027
299,Urban Masala,(323) 957-9999,6554 Hollywood Blvd,Los Angeles,CA,90028
300,New Panda Buffet,(323) 291-5555,5120 Obama Blvd,Los Angeles,CA,90016
301,Public School 213,(213) 622-4500,612 S Flower St,Los Angeles,CA,90017
302,Iota Brew Cafe,(213) 568-2700,528 S Western Ave,Los Angeles,CA,90020
303,Maverick's Flat,(323) 295-4179,4225 Crenshaw Blvd,Los Angeles,CA,90008
